food_code,food_name,calorie,carb,protein,fat
D113-569000000-0001,고사리나물무침,90,6.28,3.78,5.52
D113-570000000-0001,고춧잎나물무침,88,7.14,4.41,4.69
D113-571000000-0001,깻잎나물,78,5.04,2.68,5.18
D113-573000000-0001,냉이나물,111,15.7,5.02,3.07
D113-574000000-0001,도라지나물무침,130,13.12,2.48,7.52
D113-577000000-0001,머위대나물무침,58,4.76,3.96,2.56
D113-578000000-0001,무나물무침,21,3.64,0.62,0.46
D113-580000000-0001,방풍나물무침,76,10.74,4.39,1.73
D113-581000000-0001,배추나물,61,8.45,2.01,2.19
D113-582000000-0001,비름나물무침,73,5.7,3.46,4.05
D113-584000000-0001,숙주나물,35,2.96,2.22,1.58
D113-586000000-0001,시금치나물,69,3.36,3.74,4.46
D113-588000000-0001,시래기나물무침,114,7.74,4.32,7.28
D113-589000000-0001,씀바귀나물무침,97,16.57,3.87,1.73
D113-590000000-0001,열무나물,82,4.76,3.91,5.3
D113-590050000-0001,열무나물_된장,68,4.09,3.71,4.09
D113-592000000-0001,유채나물,96,7.82,5.8,4.6
D113-593000000-0001,참나물,60,4.14,2.51,3.69
D113-595050000-0001,취나물_된장,44,4.12,3.08,1.66
D113-595080000-0001,취나물_취나물(마른것),89,6.4,3.62,5.4
D113-597000000-0001,콩나물무침,69,3.2,3.86,4.54
D113-597030000-0001,콩나물무침_고춧가루,93,5.93,3.93,5.93
D113-598000000-0001,토란대나물무침,68,4.22,5.14,3.38
D113-600000000-0001,호박오가리나물무침,201,21.46,6.14,10.01
D114-601000000-0001,가죽나물무침,76,10.05,5.83,1.35
D114-605130000-0001,겉절이_배추,55,6.58,2.28,2.14
D114-605160000-0001,겉절이_상추,61,5.26,2.36,3.41
D114-605250000-0001,겉절이_열무,58,5.38,2.4,2.94
D114-605350000-0001,겉절이_치커리,56,4.4,1.49,3.65
D114-607200000-0001,골뱅이무침_소면,109,18.91,5.01,1.47
D114-609000000-0001,굴무침,77,7.3,6.68,2.31
D114-610000000-0001,김무침,259,19.33,21.17,10.73
D114-611000000-0001,낙지무침,77,3.96,12.41,1.24
D114-612090000-0001,냉채_닭고기,90,5,13.08,1.95
D114-615000000-0001,다시마무침,48,6.8,2.57,1.18
